epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,902.714,0.76442,0.64187,1.04995,0.89931,0.7342,0.80005,0.49794,1.26314,0.74241,1.36901,0.000114647,0.000114647,0.000114647
2,1804.77,0.77165,0.63379,1.04086,0.88151,0.73528,0.80112,0.48439,1.26612,0.77423,1.37018,0.00021828,0.00021828,0.00021828
3,2718.62,0.779,0.64697,1.05213,0.89335,0.72176,0.79618,0.46976,1.34574,0.78177,1.45962,0.000310527,0.000310527,0.000310527
4,3635.51,0.78617,0.65,1.05382,0.88702,0.70871,0.79994,0.48785,1.28683,0.80607,1.38525,0.000293768,0.000293768,0.000293768
5,4551.01,0.79475,0.66284,1.05576,0.89822,0.71101,0.80395,0.48475,1.28539,0.77227,1.37548,0.00027669,0.00027669,0.00027669
6,5486.2,0.79245,0.65763,1.05794,0.88791,0.71318,0.79837,0.47412,1.33422,0.78613,1.40961,0.000259612,0.000259612,0.000259612
7,6434.92,0.79021,0.65486,1.05432,0.88292,0.73331,0.80396,0.467,1.3847,0.77376,1.46847,0.000242535,0.000242535,0.000242535
8,7806.7,0.77188,0.64494,1.05221,0.87226,0.75128,0.8138,0.49097,1.27732,0.75034,1.37272,0.000225457,0.000225457,0.000225457
9,9048.15,0.77912,0.64155,1.05017,0.82424,0.76269,0.79904,0.48953,1.2806,0.76712,1.36749,0.00020838,0.00020838,0.00020838
10,10454.1,0.78129,0.64072,1.04932,0.87242,0.72996,0.80463,0.48567,1.24448,0.77936,1.35601,0.000191303,0.000191303,0.000191303
11,11734.9,0.76919,0.55721,1.04061,0.90225,0.72097,0.80588,0.47315,1.29792,0.7795,1.38495,0.000174225,0.000174225,0.000174225
