epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1012.92,1.43789,3.46521,1.53203,0.31552,0.38608,0.2798,0.12438,1.79237,2.90088,1.80214,0.000114647,0.000114647,0.000114647
2,2197.96,1.40135,2.1677,1.52659,0.52051,0.41199,0.4166,0.17779,1.81672,2.25685,1.85771,0.00021828,0.00021828,0.00021828
3,3300.61,1.31008,1.83771,1.47682,0.56139,0.45107,0.47704,0.20239,1.85385,2.14548,1.90889,0.000310527,0.000310527,0.000310527
4,4426.66,1.25417,1.6715,1.43246,0.65669,0.54482,0.55956,0.25842,1.7137,1.81943,1.75393,0.000293768,0.000293768,0.000293768
5,5410.86,1.22292,1.57436,1.40307,0.62569,0.55651,0.58345,0.2581,1.7447,1.74967,1.78198,0.00027669,0.00027669,0.00027669
6,6610.32,1.19999,1.50084,1.37344,0.64127,0.57137,0.59179,0.28003,1.71186,1.68954,1.73509,0.000259612,0.000259612,0.000259612
7,8031.2,1.1753,1.43696,1.35385,0.76208,0.56584,0.61268,0.27156,1.78953,1.58338,1.77519,0.000242535,0.000242535,0.000242535
8,9401.93,1.13789,1.38347,1.3345,0.76863,0.56019,0.62631,0.28603,1.80677,1.54694,1.80118,0.000225457,0.000225457,0.000225457
9,10608.1,1.12882,1.33571,1.31825,0.73603,0.5942,0.64578,0.30198,1.79597,1.52819,1.73936,0.00020838,0.00020838,0.00020838
10,11904.6,1.11955,1.30482,1.30311,0.78128,0.59908,0.65234,0.32324,1.66412,1.45076,1.67886,0.000191303,0.000191303,0.000191303
11,13119.8,1.14802,1.2654,1.32208,0.80557,0.60541,0.67718,0.33791,1.65683,1.42289,1.64374,0.000174225,0.000174225,0.000174225
12,14369.4,1.11993,1.20081,1.29525,0.81026,0.61548,0.68081,0.35313,1.60222,1.37315,1.60895,0.000157147,0.000157147,0.000157147
13,15422.6,1.10873,1.15692,1.29056,0.82002,0.64182,0.6975,0.36613,1.57304,1.32288,1.57142,0.00014007,0.00014007,0.00014007
14,16364.9,1.09742,1.12513,1.27439,0.83115,0.61472,0.69199,0.3633,1.55709,1.31719,1.57248,0.000122992,0.000122992,0.000122992
15,17281.5,1.08454,1.11209,1.27271,0.79223,0.64589,0.69981,0.37365,1.53095,1.3015,1.5434,0.000105915,0.000105915,0.000105915
16,18188.8,1.07107,1.086,1.26478,0.80921,0.64142,0.706,0.37705,1.52452,1.27621,1.56894,8.88375e-05,8.88375e-05,8.88375e-05
17,19091.2,1.06122,1.05545,1.25266,0.80886,0.64513,0.70614,0.36743,1.58136,1.24226,1.58876,7.176e-05,7.176e-05,7.176e-05
18,19989.7,1.04417,1.04201,1.24399,0.83372,0.62693,0.7107,0.38838,1.44533,1.21912,1.50423,5.46825e-05,5.46825e-05,5.46825e-05
19,20888.3,1.03508,1.02893,1.2363,0.83559,0.64648,0.71121,0.37565,1.53254,1.23523,1.56839,3.7605e-05,3.7605e-05,3.7605e-05
20,21777.9,1.0269,1.00947,1.23008,0.83777,0.65602,0.71561,0.3811,1.51519,1.20841,1.54741,2.05275e-05,2.05275e-05,2.05275e-05
