epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.435,0.78131,0.65042,1.05226,0.90668,0.70742,0.79983,0.49339,1.31181,0.75723,1.36926,0.000114294,0.000114294,0.000114294
2,98.9336,0.80033,0.66819,1.06055,0.88391,0.70732,0.79886,0.48076,1.26516,0.78677,1.34781,0.000224754,0.000224754,0.000224754
3,144.789,0.83472,0.69889,1.07512,0.88242,0.71506,0.79405,0.477,1.32488,0.80894,1.3793,0.00033066,0.00033066,0.00033066
4,190.39,0.83944,0.71667,1.08653,0.83696,0.69464,0.75732,0.44933,1.33275,0.89455,1.39497,0.000324507,0.000324507,0.000324507
5,236.149,0.84802,0.7206,1.08861,0.86288,0.71815,0.78893,0.44363,1.45483,0.86149,1.47069,0.000317676,0.000317676,0.000317676
6,281.852,0.85381,0.72153,1.09146,0.87989,0.65854,0.75973,0.45231,1.3882,0.86479,1.43713,0.000310845,0.000310845,0.000310845
7,327.381,0.84821,0.71909,1.08683,0.86064,0.69283,0.76773,0.45204,1.36405,0.85444,1.41323,0.000304014,0.000304014,0.000304014
8,373.142,0.85395,0.71935,1.08947,0.8918,0.69214,0.78171,0.43524,1.42749,0.85804,1.47464,0.000297183,0.000297183,0.000297183
9,418.842,0.84954,0.71965,1.08914,0.85856,0.72193,0.79072,0.45745,1.36415,0.82499,1.42383,0.000290352,0.000290352,0.000290352
10,464.756,0.84788,0.71287,1.08376,0.90532,0.69818,0.78628,0.44535,1.43884,0.83783,1.4579,0.000283521,0.000283521,0.000283521
11,511.372,0.84472,0.7151,1.08592,0.83357,0.73092,0.78183,0.45087,1.40435,0.82135,1.42549,0.00027669,0.00027669,0.00027669
12,557.149,0.83808,0.70763,1.08227,0.8841,0.70587,0.78905,0.46703,1.35732,0.80527,1.41334,0.000269859,0.000269859,0.000269859
13,603.549,0.83354,0.69832,1.08241,0.87721,0.7091,0.78839,0.45882,1.39026,0.83302,1.42573,0.000263028,0.000263028,0.000263028
14,649.641,0.8397,0.7031,1.08249,0.86798,0.73335,0.80592,0.4664,1.38676,0.79001,1.41225,0.000256197,0.000256197,0.000256197
15,696.107,0.82648,0.6976,1.07756,0.90619,0.71436,0.79872,0.46475,1.37675,0.80792,1.42453,0.000249366,0.000249366,0.000249366
16,742.869,0.82372,0.68868,1.07566,0.87463,0.70401,0.79774,0.462,1.34767,0.82683,1.39917,0.000242535,0.000242535,0.000242535
17,790.216,0.81957,0.69036,1.07313,0.90418,0.70453,0.80212,0.46681,1.39584,0.81029,1.42731,0.000235704,0.000235704,0.000235704
18,838.246,0.81877,0.68799,1.0706,0.8671,0.72253,0.79145,0.47626,1.31314,0.79585,1.36378,0.000228873,0.000228873,0.000228873
19,885.76,0.81508,0.68436,1.07094,0.89343,0.70399,0.78913,0.47602,1.34536,0.78737,1.38163,0.000222042,0.000222042,0.000222042
20,933.301,0.8142,0.68384,1.0669,0.85347,0.72515,0.79264,0.48386,1.29991,0.79582,1.36375,0.000215211,0.000215211,0.000215211
21,980.66,0.80869,0.68133,1.06943,0.84443,0.73882,0.78999,0.49281,1.27407,0.78166,1.34944,0.00020838,0.00020838,0.00020838
22,1027.59,0.80058,0.66827,1.06216,0.86113,0.7352,0.79241,0.47301,1.36773,0.7906,1.41352,0.000201549,0.000201549,0.000201549
23,1074.39,0.79482,0.66489,1.05906,0.88727,0.7282,0.79027,0.46707,1.34894,0.79612,1.428,0.000194718,0.000194718,0.000194718
24,1121.49,0.80059,0.66969,1.06101,0.86661,0.72815,0.79199,0.46775,1.35663,0.78819,1.39898,0.000187887,0.000187887,0.000187887
25,1168.02,0.78624,0.65498,1.06254,0.90151,0.72258,0.79892,0.46118,1.38223,0.77149,1.43112,0.000181056,0.000181056,0.000181056
26,1214.85,0.79089,0.65554,1.05818,0.87771,0.72728,0.80254,0.48817,1.32235,0.76017,1.37966,0.000174225,0.000174225,0.000174225
27,1261.16,0.78504,0.65102,1.05256,0.90879,0.71031,0.79351,0.4527,1.44657,0.78157,1.48025,0.000167394,0.000167394,0.000167394
28,1307.96,0.78207,0.6429,1.05217,0.90505,0.71604,0.80244,0.47676,1.34164,0.76011,1.39074,0.000160563,0.000160563,0.000160563
29,1355.13,0.7954,0.64934,1.05798,0.90709,0.72587,0.80213,0.48871,1.30034,0.74924,1.35627,0.000153732,0.000153732,0.000153732
30,1402.52,0.78029,0.64175,1.05114,0.91428,0.73041,0.80767,0.48011,1.33876,0.76949,1.39381,0.000146901,0.000146901,0.000146901
31,1448.87,0.77721,0.63202,1.04767,0.88239,0.7283,0.80017,0.47271,1.34639,0.75905,1.41185,0.00014007,0.00014007,0.00014007
32,1496.19,0.77369,0.63498,1.04664,0.90386,0.70799,0.79571,0.4787,1.33672,0.75947,1.38515,0.000133239,0.000133239,0.000133239
33,1542.53,0.76889,0.63372,1.04639,0.86447,0.74205,0.80513,0.48614,1.33644,0.76008,1.39216,0.000126408,0.000126408,0.000126408
34,1589.34,0.76179,0.62455,1.04239,0.89868,0.72959,0.80761,0.49049,1.2788,0.75509,1.35131,0.000119577,0.000119577,0.000119577
35,1635.5,0.76626,0.6248,1.0419,0.87799,0.74032,0.79597,0.47413,1.33859,0.74644,1.37479,0.000112746,0.000112746,0.000112746
36,1681.73,0.76219,0.62382,1.04317,0.88411,0.74166,0.81764,0.4904,1.28575,0.72883,1.35392,0.000105915,0.000105915,0.000105915
37,1727.43,0.76562,0.62404,1.04336,0.875,0.74976,0.8096,0.48662,1.35961,0.74531,1.39367,9.9084e-05,9.9084e-05,9.9084e-05
38,1773.69,0.75395,0.61847,1.03978,0.91893,0.71272,0.80936,0.50037,1.26593,0.72578,1.33542,9.2253e-05,9.2253e-05,9.2253e-05
39,1820.07,0.7575,0.61673,1.0407,0.85238,0.74383,0.80718,0.49226,1.2961,0.73667,1.3631,8.5422e-05,8.5422e-05,8.5422e-05
40,1866.87,0.7492,0.60653,1.03195,0.82759,0.78812,0.82023,0.50525,1.27779,0.71468,1.34429,7.8591e-05,7.8591e-05,7.8591e-05
41,1915,0.78326,0.56451,1.04923,0.9098,0.7216,0.8099,0.48503,1.32907,0.75338,1.38637,7.176e-05,7.176e-05,7.176e-05
42,1957.92,0.75078,0.53738,1.03157,0.88464,0.74433,0.81136,0.49231,1.30867,0.75612,1.36889,6.4929e-05,6.4929e-05,6.4929e-05
43,2001.45,0.74225,0.52565,1.02659,0.887,0.74489,0.80987,0.49755,1.28801,0.7387,1.36159,5.8098e-05,5.8098e-05,5.8098e-05
44,2045.42,0.74144,0.5252,1.02765,0.92294,0.72218,0.81766,0.50856,1.27326,0.71569,1.33784,5.1267e-05,5.1267e-05,5.1267e-05
45,2090.09,0.73654,0.5202,1.02569,0.89677,0.7558,0.81748,0.50043,1.28365,0.72184,1.35348,4.4436e-05,4.4436e-05,4.4436e-05
46,2133.87,0.73329,0.52099,1.01758,0.91884,0.72291,0.81576,0.49604,1.29607,0.72407,1.36016,3.7605e-05,3.7605e-05,3.7605e-05
47,2177.34,0.72722,0.51436,1.02079,0.90515,0.73801,0.81637,0.50496,1.27038,0.71566,1.34155,3.0774e-05,3.0774e-05,3.0774e-05
48,2221.77,0.72889,0.51495,1.01671,0.90068,0.7469,0.81645,0.50752,1.25084,0.70966,1.33109,2.3943e-05,2.3943e-05,2.3943e-05
49,2266.79,0.71658,0.50438,1.01091,0.88169,0.73981,0.81411,0.50247,1.2767,0.72015,1.33973,1.7112e-05,1.7112e-05,1.7112e-05
50,2311.88,0.71175,0.50103,1.00744,0.92147,0.72711,0.8161,0.50766,1.2562,0.71477,1.32782,1.0281e-05,1.0281e-05,1.0281e-05
