epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1536.87,0.78683,0.65469,1.06064,0.84407,0.78011,0.80972,0.48505,1.29856,0.76054,1.40702,0.000114647,0.000114647,0.000114647
2,2604.56,0.82266,0.67675,1.06629,0.85718,0.74656,0.80843,0.49494,1.272,0.80194,1.38273,0.00021828,0.00021828,0.00021828
3,3584.78,0.83381,0.70054,1.08134,0.89274,0.70962,0.79763,0.46681,1.34105,0.81279,1.43361,0.000310527,0.000310527,0.000310527
4,4502.99,0.84516,0.70822,1.08393,0.90851,0.72339,0.80287,0.474,1.32418,0.85815,1.40666,0.000293768,0.000293768,0.000293768
5,5437.58,0.85096,0.71773,1.08762,0.89397,0.71292,0.80626,0.48804,1.29117,0.80709,1.39134,0.00027669,0.00027669,0.00027669
6,6372.23,0.84712,0.71237,1.08902,0.84352,0.72036,0.78446,0.47316,1.31867,0.82666,1.38412,0.000259612,0.000259612,0.000259612
7,7288.29,0.83974,0.70511,1.08225,0.90165,0.72367,0.80743,0.47626,1.38612,0.79364,1.45972,0.000242535,0.000242535,0.000242535
8,8210.75,0.82256,0.69682,1.07902,0.8732,0.74175,0.80725,0.4806,1.30695,0.77361,1.38273,0.000225457,0.000225457,0.000225457
9,9133.66,0.82743,0.69078,1.07659,0.87739,0.73623,0.80658,0.48163,1.32046,0.7797,1.3896,0.00020838,0.00020838,0.00020838
10,10035.5,0.82607,0.6843,1.07237,0.88727,0.72905,0.81132,0.49092,1.2654,0.77111,1.3695,0.000191303,0.000191303,0.000191303
11,10920.8,0.82166,0.60329,1.06878,0.88185,0.72857,0.8091,0.4817,1.30371,0.77377,1.36721,0.000174225,0.000174225,0.000174225
12,11801.4,0.80413,0.5824,1.05827,0.81666,0.77714,0.80629,0.4967,1.23186,0.74871,1.31853,0.000157147,0.000157147,0.000157147
13,12681.2,0.78854,0.56414,1.05225,0.88005,0.74679,0.81157,0.48801,1.27172,0.74006,1.36275,0.00014007,0.00014007,0.00014007
14,13563,0.78338,0.55696,1.04328,0.91601,0.73696,0.8165,0.50374,1.21952,0.73284,1.32247,0.000122992,0.000122992,0.000122992
15,14447,0.77742,0.55711,1.04597,0.90394,0.73464,0.81393,0.50162,1.23812,0.73041,1.32773,0.000105915,0.000105915,0.000105915
16,15328.9,0.77048,0.54805,1.04353,0.87568,0.75684,0.80805,0.50549,1.23841,0.7123,1.32211,8.88375e-05,8.88375e-05,8.88375e-05
17,16215.2,0.7583,0.53533,1.03407,0.85441,0.76364,0.81029,0.48727,1.30635,0.72398,1.37781,7.176e-05,7.176e-05,7.176e-05
18,17099.3,0.75422,0.53476,1.0328,0.90408,0.7368,0.8108,0.49485,1.24729,0.72473,1.34803,5.46825e-05,5.46825e-05,5.46825e-05
19,18021.5,0.7481,0.53077,1.028,0.92163,0.73963,0.8132,0.49382,1.26011,0.72256,1.35066,3.7605e-05,3.7605e-05,3.7605e-05
