epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2971.25,0.86551,0.73595,1.11236,0.90055,0.70326,0.78608,0.45262,1.40904,0.81315,1.41818,0.000114647,0.000114647,0.000114647
2,5669.45,0.92257,0.78078,1.13278,0.82091,0.71888,0.77625,0.41791,1.41265,0.8598,1.43357,0.00021828,0.00021828,0.00021828
3,8359.14,0.9277,0.80204,1.14383,0.84102,0.71232,0.77637,0.41428,1.50501,0.90819,1.53858,0.000310527,0.000310527,0.000310527
4,11212.5,0.93157,0.81526,1.14522,0.84556,0.70443,0.77665,0.44684,1.42452,0.89163,1.44549,0.000293768,0.000293768,0.000293768
5,13904.3,0.9225,0.79725,1.14059,0.84154,0.71294,0.77849,0.43344,1.44708,0.90785,1.51677,0.00027669,0.00027669,0.00027669
6,16593.5,0.91023,0.78183,1.13413,0.84983,0.7021,0.76434,0.43523,1.37233,0.84748,1.4265,0.000259612,0.000259612,0.000259612
7,19003.6,0.90088,0.75723,1.12453,0.89908,0.7167,0.80097,0.44845,1.42363,0.83067,1.46891,0.000242535,0.000242535,0.000242535
8,21024.9,0.86768,0.73647,1.11637,0.86568,0.7029,0.7847,0.44976,1.42081,0.83022,1.44511,0.000225457,0.000225457,0.000225457
9,23045,0.87087,0.71543,1.10988,0.88751,0.72377,0.79897,0.45409,1.41294,0.82513,1.41421,0.00020838,0.00020838,0.00020838
10,25060.3,0.86432,0.70079,1.10271,0.88085,0.71562,0.78862,0.45686,1.44365,0.79876,1.47185,0.000191303,0.000191303,0.000191303
11,27708.1,0.85026,0.60111,1.0895,0.87477,0.72738,0.80218,0.44002,1.45143,0.8013,1.47841,0.000174225,0.000174225,0.000174225
12,30282.7,0.83224,0.58029,1.07744,0.87172,0.72894,0.8039,0.478,1.28019,0.74855,1.3637,0.000157147,0.000157147,0.000157147
13,32343.6,0.81512,0.56064,1.06723,0.87332,0.73475,0.80905,0.48696,1.28751,0.74385,1.34084,0.00014007,0.00014007,0.00014007
14,34365.6,0.79664,0.54463,1.05263,0.90803,0.74678,0.81689,0.50236,1.26418,0.75026,1.34033,0.000122992,0.000122992,0.000122992
15,36540.3,0.78748,0.53473,1.05292,0.88667,0.75799,0.82505,0.51982,1.19649,0.69983,1.2938,0.000105915,0.000105915,0.000105915
16,38570.1,0.77691,0.52594,1.04859,0.90706,0.7487,0.83503,0.49902,1.27256,0.68676,1.35424,8.88375e-05,8.88375e-05,8.88375e-05
17,40590.7,0.76451,0.51264,1.03808,0.89919,0.76129,0.83284,0.49219,1.30944,0.68931,1.36733,7.176e-05,7.176e-05,7.176e-05
18,42601.9,0.74995,0.50297,1.0321,0.90575,0.77087,0.83489,0.52472,1.18626,0.67372,1.2849,5.46825e-05,5.46825e-05,5.46825e-05
19,44761.2,0.74716,0.49887,1.03011,0.91902,0.7722,0.84055,0.5114,1.23499,0.66818,1.32533,3.7605e-05,3.7605e-05,3.7605e-05
20,47591.2,0.73783,0.48962,1.02479,0.9126,0.77426,0.84204,0.52092,1.21544,0.66473,1.30345,2.05275e-05,2.05275e-05,2.05275e-05
